Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,ARS,1337,100000,500.0,0.0,100.0,20.526731252670288,500.0
CartPole-v1,ARS,12345,5000,15.2,1.32664991614216,0.0,1.04367995262146,15.2
CartPole-v1,ARS,12345,10000,41.2,9.431860898041277,0.0,2.060584783554077,41.2
CartPole-v1,ARS,12345,15000,53.8,13.876599006961325,0.0,3.028658390045166,53.8
CartPole-v1,ARS,12345,20000,51.4,8.039900496896712,0.0,4.081465005874634,51.4
CartPole-v1,ARS,12345,25000,109.2,64.77468641375272,0.0,5.060098886489868,109.2
CartPole-v1,ARS,12345,30000,52.0,9.444575162494075,0.0,6.090026140213013,52.0
CartPole-v1,ARS,12345,35000,62.8,17.94881611694766,0.0,7.173969268798828,62.8
CartPole-v1,ARS,12345,40000,109.0,71.02393962601624,0.0,8.240762948989868,109.0
CartPole-v1,ARS,12345,45000,60.2,33.3550595862157,0.0,9.148826837539673,60.2
CartPole-v1,ARS,12345,50000,68.6,10.365326815879952,0.0,10.150728464126587,68.6
CartPole-v1,ARS,12345,55000,87.8,27.888348821685373,0.0,11.066582202911377,87.8
CartPole-v1,ARS,12345,60000,88.8,30.069253399444424,0.0,12.019681930541992,88.8
CartPole-v1,ARS,12345,65000,73.6,14.008568806269968,0.0,13.243757009506226,73.6
CartPole-v1,ARS,12345,70000,77.8,20.595145058969603,0.0,14.19417929649353,77.8
CartPole-v1,ARS,12345,75000,182.4,118.09758676619941,0.0,15.241613864898682,182.4
CartPole-v1,ARS,12345,80000,104.4,37.04375790872195,0.0,16.2404465675354,104.4
CartPole-v1,ARS,12345,85000,161.4,73.21912318513517,0.0,17.164970874786377,161.4
CartPole-v1,ARS,12345,90000,393.8,131.68204129645014,60.0,18.205592393875122,393.8
CartPole-v1,ARS,12345,95000,104.8,13.46699669562594,0.0,19.279810905456543,104.8
CartPole-v1,ARS,12345,100000,173.8,55.8655528926368,0.0,20.218080520629883,173.8
CartPole-v1,ARS,666,5000,13.4,1.019803902718557,0.0,1.0101234912872314,13.4
CartPole-v1,ARS,666,10000,59.0,8.694826047713663,0.0,1.9616503715515137,59.0
CartPole-v1,ARS,666,15000,65.8,18.605375567292374,0.0,2.928025245666504,65.8
CartPole-v1,ARS,666,20000,104.8,79.36094757498803,0.0,3.8670241832733154,104.8
CartPole-v1,ARS,666,25000,173.0,60.906485697337686,0.0,4.753737211227417,173.0
CartPole-v1,ARS,666,30000,146.6,43.610090575462,0.0,5.66778564453125,146.6
CartPole-v1,ARS,666,35000,143.0,28.39013913315678,0.0,6.565309286117554,143.0
CartPole-v1,ARS,666,40000,117.4,10.61319932913728,0.0,7.6284825801849365,117.4
CartPole-v1,ARS,666,45000,428.8,73.43677552834139,40.0,8.494585990905762,428.8
CartPole-v1,ARS,666,50000,500.0,0.0,100.0,9.371360540390015,500.0
CartPole-v1,ARS,666,55000,500.0,0.0,100.0,10.361595630645752,500.0
